ledger_id,account_id,event_type,session_id,credits_delta,cash_kes,balance_after,reason,created_at
LED-000070,BIZ-001,cook_charge,SYN-02569,-67,0,408,2.762 kWh cooking charge,2025-06-29T08:44:00
LED-000071,BIZ-001,cook_charge,SYN-02688,-77,0,331,3.167 kWh cooking charge,2025-06-30T13:04:00
LED-000072,BIZ-001,green_reward,SYN-02688,63,0,394,green cooking behavior reward,2025-06-30T13:04:00
LED-000073,BIZ-001,cook_charge,SYN-02692,-37,0,357,1.502 kWh cooking charge,2025-06-30T14:07:00
LED-000074,BIZ-001,green_reward,SYN-02692,33,0,390,green cooking behavior reward,2025-06-30T14:07:00
LED-000075,BIZ-002,top_up,,1200,600,1200,opening prepaid balance,2025-06-01T00:00:00
LED-000076,BIZ-002,cook_charge,SYN-00001,-23,0,1177,0.944 kWh cooking charge,2025-06-01T07:16:00
LED-000077,BIZ-002,cook_charge,SYN-00041,-92,0,1085,3.815 kWh cooking charge,2025-06-01T13:08:00
LED-000078,BIZ-002,green_reward,SYN-00041,75,0,1160,green cooking behavior reward,2025-06-01T13:08:00
LED-000079,BIZ-002,cook_charge,SYN-00133,-42,0,1118,1.717 kWh cooking charge,2025-06-02T14:04:00
LED-000080,BIZ-002,green_reward,SYN-00133,37,0,1155,green cooking behavior reward,2025-06-02T14:04:00
LED-000081,BIZ-002,cook_charge,SYN-00134,-53,0,1102,2.201 kWh cooking charge,2025-06-02T12:51:00
LED-000082,BIZ-002,green_reward,SYN-00134,46,0,1148,green cooking behavior reward,2025-06-02T12:51:00
LED-000083,BIZ-002,cook_charge,SYN-00226,-76,0,1072,3.127 kWh cooking charge,2025-06-03T12:49:00
LED-000084,BIZ-002,green_reward,SYN-00226,62,0,1134,green cooking behavior reward,2025-06-03T12:49:00
LED-000085,BIZ-002,cook_charge,SYN-00299,-74,0,1060,3.043 kWh cooking charge,2025-06-04T07:34:00
LED-000086,BIZ-002,cook_charge,SYN-00308,-78,0,982,3.226 kWh cooking charge,2025-06-04T08:59:00
LED-000087,BIZ-002,cook_charge,SYN-00421,-19,0,963,0.769 kWh cooking charge,2025-06-05T12:01:00
LED-000088,BIZ-002,green_reward,SYN-00421,20,0,983,green cooking behavior reward,2025-06-05T12:01:00
LED-000089,BIZ-002,cook_charge,SYN-00427,-67,0,916,2.753 kWh cooking charge,2025-06-05T13:05:00
LED-000090,BIZ-002,green_reward,SYN-00427,56,0,972,green cooking behavior reward,2025-06-05T13:05:00
LED-000091,BIZ-002,cook_charge,SYN-00510,-114,0,858,4.717 kWh cooking charge,2025-06-06T13:35:00
LED-000092,BIZ-002,green_reward,SYN-00510,91,0,949,green cooking behavior reward,2025-06-06T13:35:00
LED-000093,BIZ-002,cook_charge,SYN-00513,-38,0,911,1.546 kWh cooking charge,2025-06-06T12:49:00
LED-000094,BIZ-002,green_reward,SYN-00513,34,0,945,green cooking behavior reward,2025-06-06T12:49:00
LED-000095,BIZ-002,cook_charge,SYN-00571,-65,0,880,2.693 kWh cooking charge,2025-06-07T07:46:00
LED-000096,BIZ-002,cook_charge,SYN-00654,-30,0,850,1.241 kWh cooking charge,2025-06-08T08:15:00
LED-000097,BIZ-002,cook_charge,SYN-00684,-78,0,772,3.249 kWh cooking charge,2025-06-08T13:00:00
LED-000098,BIZ-002,green_reward,SYN-00684,64,0,836,green cooking behavior reward,2025-06-08T13:00:00
LED-000099,BIZ-002,cook_charge,SYN-00747,-80,0,756,3.332 kWh cooking charge,2025-06-09T08:22:00
LED-000100,BIZ-002,cook_charge,SYN-00773,-57,0,699,2.346 kWh cooking charge,2025-06-09T12:32:00
LED-000101,BIZ-002,green_reward,SYN-00773,48,0,747,green cooking behavior reward,2025-06-09T12:32:00
LED-000102,BIZ-002,cook_charge,SYN-00846,-52,0,695,2.128 kWh cooking charge,2025-06-10T08:01:00
LED-000103,BIZ-002,cook_charge,SYN-00936,-31,0,664,1.272 kWh cooking charge,2025-06-11T08:27:00
LED-000104,BIZ-002,cook_charge,SYN-00959,-51,0,613,2.109 kWh cooking charge,2025-06-11T12:36:00
LED-000105,BIZ-002,green_reward,SYN-00959,44,0,657,green cooking behavior reward,2025-06-11T12:36:00
LED-000106,BIZ-002,cook_charge,SYN-01027,-86,0,571,3.581 kWh cooking charge,2025-06-12T08:28:00
LED-000107,BIZ-002,cook_charge,SYN-01050,-60,0,511,2.479 kWh cooking charge,2025-06-12T13:19:00
LED-000108,BIZ-002,green_reward,SYN-01050,51,0,562,green cooking behavior reward,2025-06-12T13:19:00
LED-000109,BIZ-002,cook_charge,SYN-01114,-61,0,501,2.518 kWh cooking charge,2025-06-13T07:38:00
LED-000110,BIZ-002,cook_charge,SYN-01197,-93,0,408,3.851 kWh cooking charge,2025-06-14T08:18:00
LED-000111,BIZ-002,cook_charge,SYN-01237,-91,0,317,3.78 kWh cooking charge,2025-06-14T13:37:00
LED-000112,BIZ-002,green_reward,SYN-01237,74,0,391,green cooking behavior reward,2025-06-14T13:37:00
LED-000113,BIZ-002,cook_charge,SYN-01294,-45,0,346,1.86 kWh cooking charge,2025-06-15T08:02:00
LED-000114,BIZ-002,cook_charge,SYN-01326,-49,0,297,2.022 kWh cooking charge,2025-06-15T12:14:00
LED-000115,BIZ-002,green_reward,SYN-01326,42,0,339,green cooking behavior reward,2025-06-15T12:14:00
LED-000116,BIZ-002,cook_charge,SYN-01415,-35,0,304,1.419 kWh cooking charge,2025-06-16T13:04:00
LED-000117,BIZ-002,green_reward,SYN-01415,32,0,336,green cooking behavior reward,2025-06-16T13:04:00
LED-000118,BIZ-002,cook_charge,SYN-01419,-22,0,314,0.912 kWh cooking charge,2025-06-16T12:00:00
LED-000119,BIZ-002,green_reward,SYN-01419,22,0,336,green cooking behavior reward,2025-06-16T12:00:00
LED-000120,BIZ-002,cook_charge,SYN-01509,-24,0,312,0.969 kWh cooking charge,2025-06-17T13:17:00
LED-000121,BIZ-002,green_reward,SYN-01509,23,0,335,green cooking behavior reward,2025-06-17T13:17:00
LED-000122,BIZ-002,cook_charge,SYN-01572,-27,0,308,1.125 kWh cooking charge,2025-06-18T07:36:00
LED-000123,BIZ-002,cook_charge,SYN-01590,-45,0,263,1.853 kWh cooking charge,2025-06-18T12:38:00
LED-000124,BIZ-002,green_reward,SYN-01590,39,0,302,green cooking behavior reward,2025-06-18T12:38:00
LED-000125,BIZ-002,cook_charge,SYN-01680,-15,0,287,0.584 kWh cooking charge,2025-06-19T12:00:00
LED-000126,BIZ-002,green_reward,SYN-01680,17,0,304,green cooking behavior reward,2025-06-19T12:00:00
LED-000127,BIZ-002,cook_charge,SYN-01763,-33,0,271,1.355 kWh cooking charge,2025-06-20T13:28:00
LED-000128,BIZ-002,green_reward,SYN-01763,30,0,301,green cooking behavior reward,2025-06-20T13:28:00
LED-000129,BIZ-002,cook_charge,SYN-01836,-56,0,245,2.294 kWh cooking charge,2025-06-21T08:31:00
LED-000130,BIZ-002,cook_charge,SYN-01923,-58,0,187,2.391 kWh cooking charge,2025-06-22T07:58:00
LED-000131,BIZ-002,cook_charge,SYN-02017,-15,0,172,0.625 kWh cooking charge,2025-06-23T07:30:00
LED-000132,BIZ-002,cook_charge,SYN-02038,-109,0,63,4.531 kWh cooking charge,2025-06-23T13:31:00
LED-000133,BIZ-002,green_reward,SYN-02038,88,0,151,green cooking behavior reward,2025-06-23T13:31:00
LED-000134,BIZ-002,cook_charge,SYN-02092,-38,0,113,1.56 kWh cooking charge,2025-06-24T07:14:00
LED-000135,BIZ-002,cook_charge,SYN-02188,-29,0,84,1.18 kWh cooking charge,2025-06-25T08:14:00
LED-000136,BIZ-002,cook_charge,SYN-02218,-17,0,67,0.669 kWh cooking charge,2025-06-25T12:32:00
LED-000137,BIZ-002,green_reward,SYN-02218,18,0,85,green cooking behavior reward,2025-06-25T12:32:00
LED-000138,BIZ-002,cook_charge,SYN-02281,-25,0,60,1.017 kWh cooking charge,2025-06-26T07:42:00
LED-000139,BIZ-002,cook_charge,SYN-02283,-44,0,16,1.798 kWh cooking charge,2025-06-26T07:14:00
LED-000140,BIZ-002,top_up,,900,450,916,automatic demo top-up before cooking,2025-06-27T06:10:00
LED-000141,BIZ-002,cook_charge,SYN-02379,-31,0,885,1.262 kWh cooking charge,2025-06-27T07:57:00
LED-000142,BIZ-002,cook_charge,SYN-02383,-29,0,856,1.189 kWh cooking charge,2025-06-27T07:30:00
LED-000143,BIZ-002,cook_charge,SYN-02477,-28,0,828,1.131 kWh cooking charge,2025-06-28T07:50:00
LED-000144,BIZ-002,cook_charge,SYN-02478,-26,0,802,1.058 kWh cooking charge,2025-06-28T07:25:00
LED-000145,BIZ-002,cook_charge,SYN-02564,-49,0,753,2.01 kWh cooking charge,2025-06-29T07:31:00
LED-000146,BIZ-002,cook_charge,SYN-02570,-65,0,688,2.699 kWh cooking charge,2025-06-29T08:50:00
LED-000147,BIZ-002,cook_charge,SYN-02656,-40,0,648,1.627 kWh cooking charge,2025-06-30T07:03:00
LED-000148,BIZ-003,top_up,,1200,600,1200,opening prepaid balance,2025-06-01T00:00:00
LED-000149,BIZ-003,cook_charge,SYN-00027,-77,0,1123,3.184 kWh cooking charge,2025-06-01T11:57:00
LED-000150,BIZ-003,green_reward,SYN-00027,63,0,1186,green cooking behavior reward,2025-06-01T11:57:00
LED-000151,BIZ-003,cook_charge,SYN-00028,-35,0,1151,1.443 kWh cooking charge,2025-06-01T11:33:00
LED-000152,BIZ-003,green_reward,SYN-00028,32,0,1183,green cooking behavior reward,2025-06-01T11:33:00
LED-000153,BIZ-003,cook_charge,SYN-00119,-65,0,1118,2.695 kWh cooking charge,2025-06-02T11:28:00
LED-000154,BIZ-003,green_reward,SYN-00119,55,0,1173,green cooking behavior reward,2025-06-02T11:28:00
LED-000155,BIZ-003,cook_charge,SYN-00120,-51,0,1122,2.092 kWh cooking charge,2025-06-02T12:48:00
LED-000156,BIZ-003,green_reward,SYN-00120,44,0,1166,green cooking behavior reward,2025-06-02T12:48:00
LED-000157,BIZ-003,cook_charge,SYN-00223,-33,0,1133,1.37 kWh cooking charge,2025-06-03T11:18:00
LED-000158,BIZ-003,green_reward,SYN-00223,31,0,1164,green cooking behavior reward,2025-06-03T11:18:00
LED-000159,BIZ-003,cook_charge,SYN-00334,-60,0,1104,2.469 kWh cooking charge,2025-06-04T11:51:00
LED-000160,BIZ-003,green_reward,SYN-00334,50,0,1154,green cooking behavior reward,2025-06-04T11:51:00
LED-000161,BIZ-003,cook_charge,SYN-00418,-47,0,1107,1.951 kWh cooking charge,2025-06-05T12:10:00
LED-000162,BIZ-003,green_reward,SYN-00418,41,0,1148,green cooking behavior reward,2025-06-05T12:10:00
LED-000163,BIZ-003,cook_charge,SYN-00504,-75,0,1073,3.095 kWh cooking charge,2025-06-06T12:00:00
LED-000164,BIZ-003,green_reward,SYN-00504,62,0,1135,green cooking behavior reward,2025-06-06T12:00:00
LED-000165,BIZ-003,cook_charge,SYN-00590,-24,0,1111,0.987 kWh cooking charge,2025-06-07T10:50:00
LED-000166,BIZ-003,green_reward,SYN-00590,24,0,1135,green cooking behavior reward,2025-06-07T10:50:00
LED-000167,BIZ-003,cook_charge,SYN-00592,-33,0,1102,1.365 kWh cooking charge,2025-06-07T11:27:00
LED-000168,BIZ-003,green_reward,SYN-00592,31,0,1133,green cooking behavior reward,2025-06-07T11:27:00
LED-000169,BIZ-003,cook_charge,SYN-00681,-106,0,1027,4.411 kWh cooking charge,2025-06-08T12:35:00
LED-000170,BIZ-003,green_reward,SYN-00681,85,0,1112,green cooking behavior reward,2025-06-08T12:35:00
LED-000171,BIZ-003,cook_charge,SYN-00682,-72,0,1040,2.97 kWh cooking charge,2025-06-08T13:04:00
LED-000172,BIZ-003,green_reward,SYN-00682,59,0,1099,green cooking behavior reward,2025-06-08T13:04:00
LED-000173,BIZ-003,cook_charge,SYN-00771,-50,0,1049,2.076 kWh cooking charge,2025-06-09T11:51:00
LED-000174,BIZ-003,green_reward,SYN-00771,43,0,1092,green cooking behavior reward,2025-06-09T11:51:00
LED-000175,BIZ-003,cook_charge,SYN-00772,-100,0,992,4.136 kWh cooking charge,2025-06-09T12:22:00
LED-000176,BIZ-003,green_reward,SYN-00772,80,0,1072,green cooking behavior reward,2025-06-09T12:22:00
LED-000177,BIZ-003,cook_charge,SYN-00870,-86,0,986,3.557 kWh cooking charge,2025-06-10T12:40:00
LED-000178,BIZ-003,green_reward,SYN-00870,70,0,1056,green cooking behavior reward,2025-06-10T12:40:00
LED-000179,BIZ-003,cook_charge,SYN-00871,-82,0,974,3.407 kWh cooking charge,2025-06-10T12:30:00
LED-000180,BIZ-003,green_reward,SYN-00871,67,0,1041,green cooking behavior reward,2025-06-10T12:30:00
LED-000181,BIZ-003,cook_charge,SYN-00951,-39,0,1002,1.589 kWh cooking charge,2025-06-11T11:05:00
LED-000182,BIZ-003,green_reward,SYN-00951,35,0,1037,green cooking behavior reward,2025-06-11T11:05:00
LED-000183,BIZ-003,cook_charge,SYN-00953,-88,0,949,3.649 kWh cooking charge,2025-06-11T12:56:00
LED-000184,BIZ-003,green_reward,SYN-00953,72,0,1021,green cooking behavior reward,2025-06-11T12:56:00
LED-000185,BIZ-003,cook_charge,SYN-01047,-50,0,971,2.057 kWh cooking charge,2025-06-12T12:23:00
LED-000186,BIZ-003,green_reward,SYN-01047,43,0,1014,green cooking behavior reward,2025-06-12T12:23:00
LED-000187,BIZ-003,cook_charge,SYN-01048,-29,0,985,1.196 kWh cooking charge,2025-06-12T11:00:00
LED-000188,BIZ-003,green_reward,SYN-01048,28,0,1013,green cooking behavior reward,2025-06-12T11:00:00
LED-000189,BIZ-003,cook_charge,SYN-01134,-43,0,970,1.782 kWh cooking charge,2025-06-13T12:24:00
LED-000190,BIZ-003,green_reward,SYN-01134,38,0,1008,green cooking behavior reward,2025-06-13T12:24:00
LED-000191,BIZ-003,cook_charge,SYN-01136,-13,0,995,0.535 kWh cooking charge,2025-06-13T11:18:00
LED-000192,BIZ-003,green_reward,SYN-01136,16,0,1011,green cooking behavior reward,2025-06-13T11:18:00
LED-000193,BIZ-003,cook_charge,SYN-01228,-38,0,973,1.553 kWh cooking charge,2025-06-14T11:37:00
LED-000194,BIZ-003,green_reward,SYN-01228,34,0,1007,green cooking behavior reward,2025-06-14T11:37:00
LED-000195,BIZ-003,cook_charge,SYN-01318,-27,0,980,1.108 kWh cooking charge,2025-06-15T11:29:00
LED-000196,BIZ-003,green_reward,SYN-01318,26,0,1006,green cooking behavior reward,2025-06-15T11:29:00
LED-000197,BIZ-003,cook_charge,SYN-01319,-34,0,972,1.399 kWh cooking charge,2025-06-15T12:18:00
LED-000198,BIZ-003,green_reward,SYN-01319,31,0,1003,green cooking behavior reward,2025-06-15T12:18:00
LED-000199,BIZ-003,cook_charge,SYN-01414,-29,0,974,1.207 kWh cooking charge,2025-06-16T12:20:00
LED-000200,BIZ-003,green_reward,SYN-01414,28,0,1002,green cooking behavior reward,2025-06-16T12:20:00
LED-000201,BIZ-003,cook_charge,SYN-01497,-40,0,962,1.638 kWh cooking charge,2025-06-17T11:10:00
LED-000202,BIZ-003,green_reward,SYN-01497,35,0,997,green cooking behavior reward,2025-06-17T11:10:00
LED-000203,BIZ-003,cook_charge,SYN-01498,-27,0,970,1.111 kWh cooking charge,2025-06-17T11:49:00
LED-000204,BIZ-003,green_reward,SYN-01498,26,0,996,green cooking behavior reward,2025-06-17T11:49:00
LED-000205,BIZ-003,cook_charge,SYN-01585,-60,0,936,2.464 kWh cooking charge,2025-06-18T12:41:00
LED-000206,BIZ-003,green_reward,SYN-01585,50,0,986,green cooking behavior reward,2025-06-18T12:41:00
LED-000207,BIZ-003,cook_charge,SYN-01586,-45,0,941,1.857 kWh cooking charge,2025-06-18T11:30:00
LED-000208,BIZ-003,green_reward,SYN-01586,39,0,980,green cooking behavior reward,2025-06-18T11:30:00
LED-000209,BIZ-003,cook_charge,SYN-01677,-44,0,936,1.801 kWh cooking charge,2025-06-19T11:18:00
LED-000210,BIZ-003,green_reward,SYN-01677,38,0,974,green cooking behavior reward,2025-06-19T11:18:00
LED-000211,BIZ-003,cook_charge,SYN-01756,-28,0,946,1.153 kWh cooking charge,2025-06-20T11:04:00
LED-000212,BIZ-003,green_reward,SYN-01756,27,0,973,green cooking behavior reward,2025-06-20T11:04:00
LED-000213,BIZ-003,cook_charge,SYN-01758,-13,0,960,0.518 kWh cooking charge,2025-06-20T11:06:00
LED-000214,BIZ-003,green_reward,SYN-01758,15,0,975,green cooking behavior reward,2025-06-20T11:06:00
LED-000215,BIZ-003,cook_charge,SYN-01850,-93,0,882,3.864 kWh cooking charge,2025-06-21T11:58:00
LED-000216,BIZ-003,green_reward,SYN-01850,76,0,958,green cooking behavior reward,2025-06-21T11:58:00
LED-000217,BIZ-003,cook_charge,SYN-01852,-26,0,932,1.052 kWh cooking charge,2025-06-21T11:54:00
LED-000218,BIZ-003,green_reward,SYN-01852,25,0,957,green cooking behavior reward,2025-06-21T11:54:00
LED-000219,BIZ-003,cook_charge,SYN-01942,-52,0,905,2.131 kWh cooking charge,2025-06-22T11:39:00
LED-000220,BIZ-003,green_reward,SYN-01942,44,0,949,green cooking behavior reward,2025-06-22T11:39:00
LED-000221,BIZ-003,cook_charge,SYN-02031,-75,0,874,3.104 kWh cooking charge,2025-06-23T11:43:00
LED-000222,BIZ-003,green_reward,SYN-02031,62,0,936,green cooking behavior reward,2025-06-23T11:43:00
LED-000223,BIZ-003,cook_charge,SYN-02033,-99,0,837,4.101 kWh cooking charge,2025-06-23T12:19:00
LED-000224,BIZ-003,green_reward,SYN-02033,80,0,917,green cooking behavior reward,2025-06-23T12:19:00
LED-000225,BIZ-003,cook_charge,SYN-02114,-42,0,875,1.719 kWh cooking charge,2025-06-24T11:38:00
LED-000226,BIZ-003,green_reward,SYN-02114,37,0,912,green cooking behavior reward,2025-06-24T11:38:00
LED-000227,BIZ-003,cook_charge,SYN-02116,-43,0,869,1.78 kWh cooking charge,2025-06-24T11:16:00
LED-000228,BIZ-003,green_reward,SYN-02116,38,0,907,green cooking behavior reward,2025-06-24T11:16:00
LED-000229,BIZ-003,cook_charge,SYN-02210,-44,0,863,1.797 kWh cooking charge,2025-06-25T11:57:00
LED-000230,BIZ-003,green_reward,SYN-02210,38,0,901,green cooking behavior reward,2025-06-25T11:57:00
LED-000231,BIZ-003,cook_charge,SYN-02211,-42,0,859,1.716 kWh cooking charge,2025-06-25T12:24:00
LED-000232,BIZ-003,green_reward,SYN-02211,37,0,896,green cooking behavior reward,2025-06-25T12:24:00
LED-000233,BIZ-003,cook_charge,SYN-02307,-28,0,868,1.163 kWh cooking charge,2025-06-26T11:53:00
LED-000234,BIZ-003,green_reward,SYN-02307,27,0,895,green cooking behavior reward,2025-06-26T11:53:00
LED-000235,BIZ-003,cook_charge,SYN-02308,-27,0,868,1.108 kWh cooking charge,2025-06-26T12:09:00
LED-000236,BIZ-003,green_reward,SYN-02308,26,0,894,green cooking behavior reward,2025-06-26T12:09:00
LED-000237,BIZ-003,cook_charge,SYN-02405,-55,0,839,2.26 kWh cooking charge,2025-06-27T12:25:00
LED-000238,BIZ-003,green_reward,SYN-02405,47,0,886,green cooking behavior reward,2025-06-27T12:25:00
LED-000239,BIZ-003,cook_charge,SYN-02406,-63,0,823,2.594 kWh cooking charge,2025-06-27T12:21:00
LED-000240,BIZ-003,green_reward,SYN-02406,53,0,876,green cooking behavior reward,2025-06-27T12:21:00
LED-000241,BIZ-003,cook_charge,SYN-02500,-28,0,848,1.162 kWh cooking charge,2025-06-28T11:02:00
LED-000242,BIZ-003,green_reward,SYN-02500,27,0,875,green cooking behavior reward,2025-06-28T11:02:00
LED-000243,BIZ-003,cook_charge,SYN-02501,-41,0,834,1.703 kWh cooking charge,2025-06-28T11:31:00
