household_id,head_person_id,occupants,children_count,income_band_kes_month,meal_count_per_day,breakfast_window,lunch_window,dinner_window,primary_equipment,secondary_equipment,fuel_stack,current_fuel_cost_kes_week,fuel_collection_minutes_week,time_spent_cooking_minutes_day,other_grid_uses,estimated_other_grid_kwh_week,secondary_microeconomic_activity,clean_cooking_readiness_score,fuel_stacking_risk,shiftable_cooking_score,is_minigrid_user,meter_status
HH-0047,P-00149,6,2,middle,3,07:00-08:00,11:00-12:00,18:00-19:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,501,618,173,lighting;phone charging;water pump;refrigeration,1.93,beadwork,95,78,70,True,metered
HH-0048,P-00155,3,2,middle,3,06:00-07:00,12:00-13:00,18:00-19:00,LPG stove,electric pressure cooker,LPG stove+electric pressure cooker,854,20,138,lighting;phone charging,0.02,casual labor,79,28,76,False,none
HH-0049,P-00158,6,2,low,1,,,17:00-18:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1133,74,75,lighting;phone charging,0.31,vegetable kiosk,58,78,60,False,none
HH-0050,P-00164,4,1,low,3,07:00-08:00,12:00-13:00,18:00-19:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,698,82,118,lighting;phone charging,0.24,beadwork,58,78,61,False,none
HH-0051,P-00168,1,0,middle,3,07:00-08:00,11:00-12:00,19:00-20:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,732,525,164,lighting;phone charging,0.3,beadwork,45,88,46,False,none
HH-0052,P-00169,4,1,low,3,07:00-08:00,11:00-12:00,19:00-20:00,firewood/open fire,,firewood/open fire,238,401,228,lighting;phone charging,0.21,livestock sales,33,55,60,False,none
HH-0053,P-00173,4,2,middle,2,,12:00-13:00,20:00-21:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,1118,250,152,lighting;phone charging,0.09,vegetable kiosk,55,64,61,False,none
HH-0054,P-00177,4,1,middle,2,,11:00-12:00,20:00-21:00,LPG stove,,LPG stove,398,16,113,lighting;phone charging,0.06,beadwork,79,20,78,False,none
HH-0055,P-00181,2,1,middle,3,07:00-08:00,12:00-13:00,19:00-20:00,firewood/open fire,electric hob,electric hob+firewood/open fire,381,519,192,lighting;phone charging,0.05,livestock sales,57,64,66,False,none
HH-0056,P-00183,5,3,low,3,06:00-07:00,11:00-12:00,18:00-19:00,LPG stove,electric hob,LPG stove+electric hob,864,24,171,lighting;phone charging,0.45,casual labor,63,28,76,False,none
HH-0057,P-00188,7,3,low,2,,13:00-14:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,720,414,166,lighting;phone charging,0.4,none,42,64,71,False,none
HH-0058,P-00195,2,1,low,3,08:00-09:00,11:00-12:00,20:00-21:00,firewood/open fire,,firewood/open fire,122,315,215,lighting;phone charging,0.28,beadwork,29,55,48,False,none
HH-0059,P-00197,4,2,low,3,06:00-07:00,12:00-13:00,17:00-18:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,1046,557,231,lighting;phone charging,0.27,beadwork,28,88,43,False,none
HH-0060,P-00201,1,0,middle,3,06:00-07:00,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,250,612,145,lighting;phone charging,0.03,vegetable kiosk,48,55,56,False,none
HH-0061,P-00202,6,1,low,2,,12:00-13:00,18:00-19:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,881,37,95,lighting;phone charging,0.01,livestock sales,62,78,73,False,none
HH-0062,P-00208,2,0,middle,3,06:00-07:00,12:00-13:00,18:00-19:00,charcoal stove,,charcoal stove,573,104,183,lighting;phone charging,0.19,vegetable kiosk,56,55,49,False,none
HH-0063,P-00210,6,1,middle,3,06:00-07:00,11:00-12:00,19:00-20:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,386,387,132,lighting;phone charging;water pump;TV;refrigeration,1.18,casual labor,94,78,66,True,sub_metered
HH-0064,P-00216,1,0,low,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,248,717,168,lighting;phone charging,0.29,livestock sales,44,64,77,False,none
HH-0065,P-00217,5,1,lower_middle,3,07:00-08:00,13:00-14:00,18:00-19:00,electric pressure cooker,,electric pressure cooker,340,15,158,lighting;phone charging,0.4,livestock sales,68,20,65,False,none
HH-0066,P-00222,1,0,lower_middle,2,,12:00-13:00,18:00-19:00,charcoal stove,electric hob,charcoal stove+electric hob,639,90,127,lighting;phone charging,0.31,milk sales,58,64,64,False,none
HH-0067,P-00223,1,0,higher,3,07:00-08:00,13:00-14:00,18:00-19:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,650,254,148,lighting;phone charging;TV,0.83,casual labor,100,78,77,True,sub_metered
HH-0068,P-00224,3,1,middle,2,,12:00-13:00,19:00-20:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,649,241,122,lighting;phone charging,0.02,vegetable kiosk,56,88,50,False,none
HH-0069,P-00227,1,0,lower_middle,3,06:00-07:00,11:00-12:00,18:00-19:00,charcoal stove,,charcoal stove,698,112,157,lighting;phone charging,0.2,casual labor,48,55,49,False,none
HH-0070,P-00228,1,0,low,3,08:00-09:00,12:00-13:00,20:00-21:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,1219,596,153,lighting;phone charging,0.44,casual labor,60,78,65,False,none
HH-0071,P-00229,2,0,higher,3,07:00-08:00,14:00-15:00,18:00-19:00,electric pressure cooker,,electric pressure cooker,385,38,104,lighting;phone charging;water pump;TV,1.49,casual labor,100,20,77,True,metered
HH-0072,P-00231,3,1,low,2,,12:00-13:00,20:00-21:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1138,70,111,lighting;phone charging,0.23,milk sales,50,64,62,False,none
HH-0073,P-00234,5,2,lower_middle,3,06:00-07:00,13:00-14:00,18:00-19:00,electric pressure cooker,,electric pressure cooker,496,38,144,lighting;phone charging,0.46,milk sales,69,20,70,False,none
HH-0074,P-00239,3,1,low,3,07:00-08:00,12:00-13:00,20:00-21:00,firewood/open fire,electric hob,electric hob+firewood/open fire,466,660,188,lighting;phone charging,0.05,beadwork,45,64,79,False,none
HH-0075,P-00242,4,2,middle,3,06:00-07:00,12:00-13:00,18:00-19:00,charcoal stove,,charcoal stove,728,100,144,lighting;phone charging,0.13,vegetable kiosk,59,55,59,False,none
HH-0076,P-00246,3,1,higher,2,,11:00-12:00,19:00-20:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,687,92,87,lighting;phone charging;refrigeration,1.31,vegetable kiosk,100,78,77,True,metered
HH-0077,P-00249,2,1,lower_middle,2,,12:00-13:00,19:00-20:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1031,96,95,lighting;phone charging,0.33,livestock sales,70,78,74,False,none
HH-0078,P-00251,1,0,lower_middle,1,,,18:00-19:00,charcoal stove,LPG stove,LPG stove+charcoal stove,909,111,63,lighting;phone charging,0.28,livestock sales,55,64,52,False,none
HH-0079,P-00252,4,1,lower_middle,2,,12:00-13:00,20:00-21:00,charcoal stove,electric hob,charcoal stove+electric hob,991,101,114,lighting;phone charging,0.1,milk sales,58,64,64,False,none
HH-0080,P-00256,4,2,low,1,,,17:00-18:00,LPG stove,electric hob,LPG stove+electric hob,920,25,63,lighting;phone charging,0.36,none,57,28,58,False,none
HH-0081,P-00260,2,1,low,3,06:00-07:00,14:00-15:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,424,438,155,lighting;phone charging,0.48,milk sales,42,64,69,False,none
HH-0082,P-00262,3,0,low,2,,12:00-13:00,18:00-19:00,electric hob,electric pressure cooker,electric hob+electric pressure cooker,246,31,102,lighting;phone charging,0.47,beadwork,60,28,67,False,none
HH-0083,P-00265,4,2,lower_middle,2,,12:00-13:00,18:00-19:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1056,26,104,lighting;phone charging,0.31,beadwork,70,78,74,False,none
HH-0084,P-00269,1,0,higher,3,07:00-08:00,12:00-13:00,18:00-19:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,563,66,102,lighting;phone charging;radio,0.51,livestock sales,100,78,71,True,metered
HH-0085,P-00270,5,2,low,3,06:00-07:00,13:00-14:00,18:00-19:00,firewood/open fire,,firewood/open fire,179,310,174,lighting;phone charging,0.46,casual labor,33,55,60,False,none
HH-0086,P-00275,1,0,low,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,453,294,175,lighting;phone charging,0.49,casual labor,45,64,79,False,none
HH-0087,P-00276,5,1,middle,3,07:00-08:00,12:00-13:00,17:00-18:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,843,39,117,lighting;phone charging;small shop freezer;refrigeration;water pump,1.84,vegetable kiosk,94,78,68,True,metered
HH-0088,P-00281,4,2,higher,3,08:00-09:00,11:00-12:00,19:00-20:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,415,344,118,lighting;phone charging;small shop freezer,1.89,casual labor,100,78,73,True,sub_metered
HH-0089,P-00285,3,2,low,3,07:00-08:00,11:00-12:00,18:00-19:00,electric pressure cooker,,electric pressure cooker,189,6,127,lighting;phone charging,0.42,livestock sales,63,20,76,False,none
HH-0090,P-00288,3,0,middle,2,,13:00-14:00,18:00-19:00,charcoal stove,,charcoal stove,360,48,111,lighting;phone charging,0.05,livestock sales,55,55,48,False,none
HH-0091,P-00291,1,0,low,3,06:00-07:00,12:00-13:00,18:00-19:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,624,417,149,lighting;phone charging,0.42,beadwork,32,88,55,False,none
HH-0092,P-00292,1,0,lower_middle,3,06:00-07:00,13:00-14:00,19:00-20:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,1002,22,177,lighting;phone charging,0.38,livestock sales,61,64,73,False,none
HH-0093,P-00293,5,1,low,2,,13:00-14:00,18:00-19:00,charcoal stove,electric hob,charcoal stove+electric hob,799,22,138,lighting;phone charging,0.25,vegetable kiosk,54,64,77,False,none
HH-0094,P-00298,1,0,lower_middle,3,07:00-08:00,12:00-13:00,19:00-20:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,867,96,161,lighting;phone charging,0.08,beadwork,58,64,65,False,none
HH-0095,P-00299,3,1,low,3,08:00-09:00,13:00-14:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,463,416,195,lighting;phone charging,0.3,beadwork,42,64,69,False,none
HH-0096,P-00302,4,2,low,3,07:00-08:00,13:00-14:00,18:00-19:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,1114,202,201,lighting;phone charging,0.29,vegetable kiosk,41,64,68,False,none
HH-0097,P-00306,6,4,lower_middle,3,07:00-08:00,11:00-12:00,17:00-18:00,firewood/open fire,electric hob,electric hob+firewood/open fire,422,627,199,lighting;phone charging,0.17,vegetable kiosk,52,64,75,False,none
HH-0098,P-00312,6,2,lower_middle,3,07:00-08:00,12:00-13:00,20:00-21:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,717,94,176,lighting;phone charging,0.26,beadwork,68,78,66,False,none
HH-0099,P-00318,4,1,lower_middle,3,07:00-08:00,11:00-12:00,19:00-20:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,350,414,164,lighting;phone charging,0.35,livestock sales,51,64,73,False,none
HH-0100,P-00322,2,0,lower_middle,3,06:00-07:00,12:00-13:00,18:00-19:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,727,441,173,lighting;phone charging,0.07,livestock sales,48,88,51,False,none
HH-0101,P-00324,5,1,lower_middle,3,06:00-07:00,12:00-13:00,17:00-18:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1450,59,160,lighting;phone charging,0.26,livestock sales,59,64,66,False,none
HH-0102,P-00329,3,0,lower_middle,2,,11:00-12:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,577,661,139,lighting;phone charging,0.45,livestock sales,49,64,66,False,none
HH-0103,P-00332,1,0,low,3,06:00-07:00,12:00-13:00,19:00-20:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,477,54,138,lighting;phone charging,0.27,casual labor,50,64,63,False,none
HH-0104,P-00333,1,0,lower_middle,3,06:00-07:00,13:00-14:00,18:00-19:00,charcoal stove,electric hob,charcoal stove+electric hob,807,43,144,lighting;phone charging,0.39,vegetable kiosk,59,64,66,False,none
HH-0105,P-00334,7,3,lower_middle,2,,13:00-14:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,700,238,161,lighting;phone charging,0.07,livestock sales,47,64,61,False,none
HH-0106,P-00341,2,0,low,3,07:00-08:00,13:00-14:00,19:00-20:00,firewood/open fire,,firewood/open fire,155,556,211,lighting;phone charging,0.39,beadwork,29,55,47,False,none
HH-0107,P-00343,1,0,lower_middle,3,07:00-08:00,13:00-14:00,18:00-19:00,charcoal stove,,charcoal stove,725,51,138,lighting;phone charging,0.32,casual labor,47,55,46,False,none
HH-0108,P-00344,6,3,lower_middle,3,07:00-08:00,13:00-14:00,17:00-18:00,firewood/open fire,electric hob,electric hob+firewood/open fire,645,681,214,lighting;phone charging,0.28,casual labor,47,64,61,False,none
HH-0109,P-00350,2,0,middle,3,06:00-07:00,12:00-13:00,19:00-20:00,electric pressure cooker,,electric pressure cooker,443,22,155,lighting;phone charging,0.29,milk sales,78,20,75,False,none
HH-0110,P-00352,6,3,low,3,07:00-08:00,13:00-14:00,19:00-20:00,firewood/open fire,,firewood/open fire,279,597,188,lighting;phone charging,0.25,beadwork,30,55,51,False,none
HH-0111,P-00358,3,1,lower_middle,2,,13:00-14:00,19:00-20:00,LPG stove,,LPG stove,415,38,96,lighting;phone charging,0.42,livestock sales,68,20,67,False,none
HH-0112,P-00361,3,1,lower_middle,3,06:00-07:00,11:00-12:00,19:00-20:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,664,60,148,lighting;phone charging,0.1,livestock sales,69,78,70,False,none
HH-0113,P-00364,5,0,low,3,06:00-07:00,13:00-14:00,19:00-20:00,firewood/open fire,,firewood/open fire,245,323,238,lighting;phone charging,0.4,vegetable kiosk,29,55,47,False,none
HH-0114,P-00369,5,2,lower_middle,2,,12:00-13:00,17:00-18:00,firewood/open fire,,firewood/open fire,215,438,156,lighting;phone charging,0.2,casual labor,38,55,50,False,none
HH-0115,P-00374,3,2,low,3,06:00-07:00,13:00-14:00,17:00-18:00,firewood/open fire,,firewood/open fire,235,313,199,lighting;phone charging,0.48,vegetable kiosk,30,55,49,False,none
HH-0116,P-00377,7,3,low,2,,12:00-13:00,18:00-19:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,726,234,159,lighting;phone charging,0.23,vegetable kiosk,29,88,46,False,none
HH-0117,P-00384,5,2,low,3,06:00-07:00,12:00-13:00,19:00-20:00,charcoal stove,electric hob,charcoal stove+electric hob,1040,90,193,lighting;phone charging,0.02,none,52,64,70,False,none
HH-0118,P-00389,5,1,low,2,,13:00-14:00,19:00-20:00,LPG stove,,LPG stove,800,21,96,lighting;phone charging,0.16,beadwork,59,20,63,False,none
HH-0119,P-00394,3,0,low,3,07:00-08:00,12:00-13:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,315,205,210,lighting;phone charging,0.11,beadwork,44,64,78,False,none
HH-0120,P-00397,5,2,middle,3,06:00-07:00,13:00-14:00,18:00-19:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,886,26,160,lighting;phone charging;small shop freezer;refrigeration,1.92,milk sales,96,78,75,True,metered
HH-0121,P-00402,3,1,lower_middle,2,,13:00-14:00,18:00-19:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1262,113,109,lighting;phone charging,0.25,none,71,78,77,False,none
HH-0122,P-00405,5,3,lower_middle,2,,11:00-12:00,17:00-18:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,906,327,129,lighting;phone charging,0.38,livestock sales,50,64,71,False,none
HH-0123,P-00410,2,1,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,charcoal stove,electric hob,charcoal stove+electric hob,439,58,127,lighting;phone charging,0.48,livestock sales,59,64,68,False,none
HH-0124,P-00412,4,0,low,3,06:00-07:00,12:00-13:00,18:00-19:00,charcoal stove,electric hob,charcoal stove+electric hob,1085,92,164,lighting;phone charging,0.5,livestock sales,50,64,65,False,none
HH-0125,P-00416,6,1,middle,2,,12:00-13:00,19:00-20:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,561,349,162,lighting;phone charging;water pump;TV,0.7,casual labor,74,64,62,True,metered
HH-0126,P-00422,4,1,middle,3,06:00-07:00,12:00-13:00,19:00-20:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,914,93,158,lighting;phone charging,0.27,none,78,78,72,False,none
HH-0127,P-00426,5,4,lower_middle,3,07:00-08:00,14:00-15:00,18:00-19:00,LPG stove,,LPG stove,1147,9,166,lighting;phone charging,0.26,vegetable kiosk,69,20,71,False,none
HH-0128,P-00431,3,0,low,2,,13:00-14:00,20:00-21:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1099,75,127,lighting;phone charging,0.14,none,51,64,68,False,none
HH-0129,P-00434,4,0,lower_middle,3,08:00-09:00,12:00-13:00,19:00-20:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,898,443,168,lighting;phone charging,0.41,beadwork,51,64,73,False,none
HH-0130,P-00438,7,3,lower_middle,3,07:00-08:00,13:00-14:00,18:00-19:00,LPG stove,electric hob,LPG stove+electric hob,1351,6,172,lighting;phone charging,0.25,beadwork,68,28,68,False,none
HH-0131,P-00445,1,0,higher,3,06:00-07:00,11:00-12:00,17:00-18:00,electric pressure cooker,,electric pressure cooker,253,10,150,lighting;phone charging;refrigeration;TV,1.65,none,100,20,79,True,metered
