session_id,account_id,entity_id,account_type,cooker_id,plug,observed_group,source,start_at,end_at,date,start_hour_eat,duration_minutes,kwh,avg_w,peak_w,slot_color,shifted_daytime
SYN-00091,HH-0497,HH-0497,household,C-SYN-HH-0497,,,synthetic_profile,2025-06-01T19:15:00,2025-06-01T19:59:00,2025-06-01,19,44,0.248,338.2,1051,red,0
SYN-00092,HH-0527,HH-0527,household,C-SYN-HH-0527,,,synthetic_profile,2025-06-01T20:30:00,2025-06-01T20:54:00,2025-06-01,20,24,0.302,755.0,1559,red,0
SYN-00093,HH-0347,HH-0347,household,C-SYN-HH-0347,,,synthetic_profile,2025-06-01T20:40:00,2025-06-01T21:13:00,2025-06-01,20,33,0.182,330.9,1208,red,0
SYN-00094,HH-0063,HH-0063,household,C-SYN-HH-0063,,,synthetic_profile,2025-06-02T06:00:00,2025-06-02T06:31:00,2025-06-02,6,31,0.242,468.4,1584,red,0
SYN-00095,BIZ-004,BIZ-004,commercial,C-SYN-BIZ-004,,,synthetic_profile,2025-06-02T06:05:00,2025-06-02T06:50:00,2025-06-02,6,45,0.693,924.0,1330,red,0
SYN-00096,HH-0187,HH-0187,household,C-SYN-HH-0187,,,synthetic_profile,2025-06-02T06:10:00,2025-06-02T07:05:00,2025-06-02,6,55,0.472,514.9,1575,red,0
SYN-00097,HH-0205,HH-0205,household,C-SYN-HH-0205,,,synthetic_profile,2025-06-02T06:10:00,2025-06-02T06:40:00,2025-06-02,6,30,0.214,428.0,1933,red,0
SYN-00098,HH-0433,HH-0433,household,C-SYN-HH-0433,,,synthetic_profile,2025-06-02T06:10:00,2025-06-02T06:44:00,2025-06-02,6,34,0.198,349.4,2100,red,0
SYN-00099,BIZ-004,BIZ-004,commercial,C-SYN-BIZ-004,,,synthetic_profile,2025-06-02T06:15:00,2025-06-02T07:17:00,2025-06-02,6,62,1.118,1081.9,1641,red,0
SYN-00100,BIZ-007,BIZ-007,commercial,C-SYN-BIZ-007,,,synthetic_profile,2025-06-02T06:15:00,2025-06-02T08:20:00,2025-06-02,6,125,1.713,822.2,1718,red,0
SYN-00101,HH-0563,HH-0563,household,C-SYN-HH-0563,,,synthetic_profile,2025-06-02T06:15:00,2025-06-02T07:13:00,2025-06-02,6,58,0.596,616.6,1782,red,0
SYN-00102,BIZ-010,BIZ-010,commercial,C-SYN-BIZ-010,,,synthetic_profile,2025-06-02T06:20:00,2025-06-02T07:26:00,2025-06-02,6,66,0.817,742.7,2037,red,0
SYN-00103,HH-0265,HH-0265,household,C-SYN-HH-0265,,,synthetic_profile,2025-06-02T06:20:00,2025-06-02T06:48:00,2025-06-02,6,28,0.133,285.0,1481,red,0
OBS-015-0070,HH-0020,HH-0020,household,C-OBS-015,015,F,observed_smartplug,2025-06-02T06:26:09.505000,2025-06-02T06:34:09.504000,2025-06-02,6,8.0,0.151,1128.9,1144.4,red,0
SYN-00105,BIZ-001,BIZ-001,commercial,C-SYN-BIZ-001,,,synthetic_profile,2025-06-02T06:30:00,2025-06-02T08:19:00,2025-06-02,6,109,3.469,1909.5,1674,red,0
SYN-00106,BIZ-008,BIZ-008,commercial,C-SYN-BIZ-008,,,synthetic_profile,2025-06-02T06:30:00,2025-06-02T07:41:00,2025-06-02,6,71,1.02,862.0,2179,red,0
SYN-00107,BIZ-001,BIZ-001,commercial,C-SYN-BIZ-001,,,synthetic_profile,2025-06-02T06:40:00,2025-06-02T07:33:00,2025-06-02,6,53,0.961,1087.9,1972,red,0
SYN-00108,BIZ-007,BIZ-007,commercial,C-SYN-BIZ-007,,,synthetic_profile,2025-06-02T06:40:00,2025-06-02T08:41:00,2025-06-02,6,121,1.544,765.6,1723,red,0
SYN-00109,HH-0262,HH-0262,household,C-SYN-HH-0262,,,synthetic_profile,2025-06-02T06:40:00,2025-06-02T06:59:00,2025-06-02,6,19,0.089,281.1,1159,red,0
SYN-00110,HH-0087,HH-0087,household,C-SYN-HH-0087,,,synthetic_profile,2025-06-02T07:05:00,2025-06-02T07:36:00,2025-06-02,7,31,0.166,321.3,1222,orange,0
SYN-00111,HH-0047,HH-0047,household,C-SYN-HH-0047,,,synthetic_profile,2025-06-02T07:15:00,2025-06-02T08:12:00,2025-06-02,7,57,0.692,728.4,1842,orange,0
SYN-00112,HH-0158,HH-0158,household,C-SYN-HH-0158,,,synthetic_profile,2025-06-02T07:15:00,2025-06-02T08:00:00,2025-06-02,7,45,0.538,717.3,1726,orange,0
SYN-00113,HH-0374,HH-0374,household,C-SYN-HH-0374,,,synthetic_profile,2025-06-02T07:15:00,2025-06-02T07:53:00,2025-06-02,7,38,0.381,601.6,1425,orange,0
SYN-00114,HH-0488,HH-0488,household,C-SYN-HH-0488,,,synthetic_profile,2025-06-02T07:15:00,2025-06-02T07:57:00,2025-06-02,7,42,0.587,838.6,1997,orange,0
SYN-00115,HH-0067,HH-0067,household,C-SYN-HH-0067,,,synthetic_profile,2025-06-02T07:20:00,2025-06-02T07:56:00,2025-06-02,7,36,0.519,865.0,980,orange,0
SYN-00116,HH-0071,HH-0071,household,C-SYN-HH-0071,,,synthetic_profile,2025-06-02T07:20:00,2025-06-02T08:00:00,2025-06-02,7,40,0.324,486.0,1080,orange,0
SYN-00117,HH-0188,HH-0188,household,C-SYN-HH-0188,,,synthetic_profile,2025-06-02T07:40:00,2025-06-02T08:24:00,2025-06-02,7,44,0.455,620.5,2019,orange,0
SYN-00118,HH-0469,HH-0469,household,C-SYN-HH-0469,,,synthetic_profile,2025-06-02T08:00:00,2025-06-02T08:27:00,2025-06-02,8,27,0.163,362.2,1831,orange,0
SYN-00119,BIZ-003,BIZ-003,commercial,C-SYN-BIZ-003,,,synthetic_profile,2025-06-02T10:00:00,2025-06-02T11:28:00,2025-06-02,10,88,2.695,1837.5,1848,green,1
SYN-00120,BIZ-003,BIZ-003,commercial,C-SYN-BIZ-003,,,synthetic_profile,2025-06-02T10:30:00,2025-06-02T12:48:00,2025-06-02,10,138,2.092,909.6,2098,green,1
SYN-00121,BIZ-005,BIZ-005,commercial,C-SYN-BIZ-005,,,synthetic_profile,2025-06-02T10:30:00,2025-06-02T11:59:00,2025-06-02,10,89,2.375,1601.1,2162,green,1
SYN-00122,BIZ-005,BIZ-005,commercial,C-SYN-BIZ-005,,,synthetic_profile,2025-06-02T10:30:00,2025-06-02T11:46:00,2025-06-02,10,76,0.947,747.6,1700,green,1
SYN-00123,HH-0179,HH-0179,household,C-SYN-HH-0179,,,synthetic_profile,2025-06-02T11:00:00,2025-06-02T11:51:00,2025-06-02,11,51,0.764,898.8,1481,green,1
SYN-00124,HH-0377,HH-0377,household,C-SYN-HH-0377,,,synthetic_profile,2025-06-02T11:00:00,2025-06-02T11:55:00,2025-06-02,11,55,0.496,541.1,1195,green,1
SYN-00125,BIZ-009,BIZ-009,commercial,C-SYN-BIZ-009,,,synthetic_profile,2025-06-02T11:05:00,2025-06-02T12:10:00,2025-06-02,11,65,1.631,1505.5,1707,green,1
SYN-00126,HH-0303,HH-0303,household,C-SYN-HH-0303,,,synthetic_profile,2025-06-02T11:05:00,2025-06-02T12:01:00,2025-06-02,11,56,0.609,652.5,981,green,1
SYN-00127,HH-0063,HH-0063,household,C-SYN-HH-0063,,,synthetic_profile,2025-06-02T11:10:00,2025-06-02T12:01:00,2025-06-02,11,51,0.466,548.2,1113,green,1
SYN-00128,HH-0047,HH-0047,household,C-SYN-HH-0047,,,synthetic_profile,2025-06-02T11:15:00,2025-06-02T11:52:00,2025-06-02,11,37,0.442,716.8,1614,green,1
SYN-00129,HH-0076,HH-0076,household,C-SYN-HH-0076,,,synthetic_profile,2025-06-02T11:15:00,2025-06-02T11:56:00,2025-06-02,11,41,0.624,913.2,1653,green,1
SYN-00130,BIZ-009,BIZ-009,commercial,C-SYN-BIZ-009,,,synthetic_profile,2025-06-02T11:20:00,2025-06-02T13:04:00,2025-06-02,11,104,3.009,1736.0,1132,green,1
OBS-010-0039,HH-0010,HH-0010,household,C-OBS-010,010,H,observed_smartplug,2025-06-02T11:35:19.395000,2025-06-02T11:42:43.382000,2025-06-02,11,7.4,0.1,810.0,1163.1,green,1
OBS-011-0059,HH-0010,HH-0010,household,C-OBS-011,011,H,observed_smartplug,2025-06-02T11:35:21.411000,2025-06-02T11:42:51.425000,2025-06-02,11,7.5,0.142,1139.1,1156.2,green,1
SYN-00133,BIZ-002,BIZ-002,commercial,C-SYN-BIZ-002,,,synthetic_profile,2025-06-02T11:40:00,2025-06-02T14:04:00,2025-06-02,11,144,1.717,715.4,1684,green,1
SYN-00134,BIZ-002,BIZ-002,commercial,C-SYN-BIZ-002,,,synthetic_profile,2025-06-02T11:40:00,2025-06-02T12:51:00,2025-06-02,11,71,2.201,1860.0,2092,green,1
SYN-00135,HH-0485,HH-0485,household,C-SYN-HH-0485,,,synthetic_profile,2025-06-02T12:00:00,2025-06-02T12:24:00,2025-06-02,12,24,0.261,652.5,1464,green,1
SYN-00136,HH-0488,HH-0488,household,C-SYN-HH-0488,,,synthetic_profile,2025-06-02T12:05:00,2025-06-02T12:36:00,2025-06-02,12,31,0.284,549.7,2035,green,1
SYN-00137,HH-0563,HH-0563,household,C-SYN-HH-0563,,,synthetic_profile,2025-06-02T12:05:00,2025-06-02T13:04:00,2025-06-02,12,59,0.435,442.4,2019,green,1
SYN-00138,HH-0262,HH-0262,household,C-SYN-HH-0262,,,synthetic_profile,2025-06-02T12:15:00,2025-06-02T13:03:00,2025-06-02,12,48,0.606,757.5,964,green,1
SYN-00139,HH-0201,HH-0201,household,C-SYN-HH-0201,,,synthetic_profile,2025-06-02T12:20:00,2025-06-02T12:55:00,2025-06-02,12,35,0.514,881.1,1722,green,1
SYN-00140,HH-0286,HH-0286,household,C-SYN-HH-0286,,,synthetic_profile,2025-06-02T12:20:00,2025-06-02T13:11:00,2025-06-02,12,51,0.649,763.5,1460,green,1
SYN-00141,HH-0467,HH-0467,household,C-SYN-HH-0467,,,synthetic_profile,2025-06-02T12:20:00,2025-06-02T12:53:00,2025-06-02,12,33,0.389,707.3,863,green,1
SYN-00142,HH-0229,HH-0229,household,C-SYN-HH-0229,,,synthetic_profile,2025-06-02T12:40:00,2025-06-02T13:23:00,2025-06-02,12,43,0.295,411.6,1983,green,1
