rank,account_id,entity_id,account_type,display_name,leaderboard_group,sessions,kwh,green_sessions,orange_sessions,red_sessions,green_window_share,shifted_daytime_sessions,credits_earned,credits_spent,ending_balance_credits,cash_paid_kes,fuel_stacking_risk_days,score,privacy_level
33,HH-0428,HH-0428,household,Household HH-0428,household,23,9.757,13,0,10,0.565,13,177,246,251,160,0,319,synthetic_id_only
34,HH-0473,HH-0473,household,Household HH-0473,household,31,13.504,11,10,10,0.355,11,182,339,163,160,0,316,synthetic_id_only
35,HH-0416,HH-0416,household,Household HH-0416,household,21,9.675,12,0,9,0.571,12,177,242,255,160,30,309,synthetic_id_only
36,HH-0497,HH-0497,household,Household HH-0497,household,41,14.89,12,12,17,0.293,12,183,378,125,160,0,307,synthetic_id_only
37,HH-0382,HH-0382,household,Household HH-0382,household,25,8.778,13,0,12,0.52,13,170,222,268,160,0,304,synthetic_id_only
38,HH-0347,HH-0347,household,Household HH-0347,household,21,7.665,12,0,9,0.571,12,158,196,282,160,30,290,synthetic_id_only
39,HH-0131,HH-0131,household,Household HH-0131,household,40,16.569,14,0,26,0.35,14,198,419,99,160,0,290,synthetic_id_only
40,HH-0010,HH-0010,household,Household HH-0010,household,27,10.745,12,4,11,0.444,12,155,268,207,160,30,287,synthetic_id_only
41,HH-0257,HH-0257,household,Household HH-0257,household,44,16.993,15,0,29,0.341,15,193,429,84,160,0,287,synthetic_id_only
42,HH-0071,HH-0071,household,Household HH-0071,household,35,14.968,10,9,16,0.286,10,184,376,128,160,0,278,synthetic_id_only
43,HH-0262,HH-0262,household,Household HH-0262,household,42,18.135,13,0,29,0.31,13,210,456,74,160,30,276,synthetic_id_only
44,HH-0560,HH-0560,household,Household HH-0560,household,20,7.802,11,0,9,0.55,11,157,197,280,160,0,275,synthetic_id_only
45,HH-0088,HH-0088,household,Household HH-0088,household,34,14.562,9,13,12,0.265,9,170,367,123,160,30,274,synthetic_id_only
46,HH-0488,HH-0488,household,Household HH-0488,household,35,15.25,10,9,16,0.286,10,172,383,109,160,0,266,synthetic_id_only
47,HH-0133,HH-0133,household,Household HH-0133,household,18,8.268,10,0,8,0.556,10,152,205,267,160,0,260,synthetic_id_only
48,HH-0047,HH-0047,household,Household HH-0047,household,41,17.744,9,13,19,0.22,9,179,446,53,160,30,255,synthetic_id_only
49,HH-0158,HH-0158,household,Household HH-0158,household,39,15.902,10,9,20,0.256,10,175,402,93,160,0,253,synthetic_id_only
50,HH-0527,HH-0527,household,Household HH-0527,household,26,10.192,11,0,15,0.423,11,158,259,219,160,0,252,synthetic_id_only
51,HH-0179,HH-0179,household,Household HH-0179,household,21,9.189,10,0,11,0.476,10,152,231,241,160,0,248,synthetic_id_only
52,HH-0563,HH-0563,household,Household HH-0563,household,36,15.991,12,0,24,0.333,12,171,402,89,160,0,243,synthetic_id_only
53,HH-0207,HH-0207,household,Household HH-0207,household,40,15.246,13,0,27,0.325,13,166,386,100,160,30,240,synthetic_id_only
54,HH-0165,HH-0165,household,Household HH-0165,household,35,13.154,12,0,23,0.343,12,163,332,151,160,0,239,synthetic_id_only
55,HH-0406,HH-0406,household,Household HH-0406,household,23,8.119,11,0,12,0.478,11,130,205,245,160,30,236,synthetic_id_only
56,HH-0275,HH-0275,household,Household HH-0275,household,35,11.485,12,0,23,0.343,12,152,294,178,160,0,228,synthetic_id_only
57,HH-0163,HH-0163,household,Household HH-0163,household,36,15.777,11,0,25,0.306,11,174,398,96,160,0,228,synthetic_id_only
58,HH-0480,HH-0480,household,Household HH-0480,household,9,3.82,8,0,1,0.889,8,113,96,337,160,30,221,synthetic_id_only
59,HH-0205,HH-0205,household,Household HH-0205,household,34,13.442,11,0,23,0.324,11,150,339,131,160,0,212,synthetic_id_only
60,HH-0087,HH-0087,household,Household HH-0087,household,35,14.304,8,10,17,0.229,8,141,358,103,160,30,205,synthetic_id_only
61,HH-0254,HH-0254,household,Household HH-0254,household,23,9.607,9,0,14,0.391,9,132,241,211,160,0,202,synthetic_id_only
62,HH-0284,HH-0284,household,Household HH-0284,household,16,6.814,8,0,8,0.5,8,108,171,257,160,0,188,synthetic_id_only
63,HH-0140,HH-0140,household,Household HH-0140,household,37,15.546,10,0,27,0.27,10,149,392,77,160,30,181,synthetic_id_only
64,HH-0120,HH-0120,household,Household HH-0120,household,42,15.547,11,0,31,0.262,11,150,395,75,160,30,180,synthetic_id_only
65,HH-0282,HH-0282,household,Household HH-0282,household,20,7.186,8,0,12,0.4,8,109,182,247,160,0,173,synthetic_id_only
66,HH-0381,HH-0381,household,Household HH-0381,household,21,7.666,8,0,13,0.381,8,113,193,240,160,30,173,synthetic_id_only
67,HH-0034,HH-0034,household,Household HH-0034,household,14,6.225,6,3,5,0.429,6,97,156,261,160,30,167,synthetic_id_only
68,HH-0031,HH-0031,household,Household HH-0031,household,25,8.259,6,4,15,0.24,8,117,209,228,160,30,165,synthetic_id_only
69,HH-0303,HH-0303,household,Household HH-0303,household,37,16.183,9,0,28,0.243,9,132,405,47,160,0,146,synthetic_id_only
70,HH-0485,HH-0485,household,Household HH-0485,household,17,7.931,6,0,11,0.353,6,96,199,217,160,30,136,synthetic_id_only
71,HH-0469,HH-0469,household,Household HH-0469,household,16,5.499,5,5,6,0.312,5,80,139,261,160,30,136,synthetic_id_only
72,HH-0433,HH-0433,household,Household HH-0433,household,20,6.625,5,0,15,0.25,5,68,169,219,160,0,78,synthetic_id_only
73,HH-0274,HH-0274,household,Household HH-0274,household,19,6.064,4,0,15,0.211,4,40,155,205,160,0,36,synthetic_id_only
74,HH-0467,HH-0467,household,Household HH-0467,household,10,3.586,2,0,8,0.2,2,30,90,260,160,30,26,synthetic_id_only
75,HH-0018,HH-0018,household,Household HH-0018,household,3,0.83,0,1,2,0.0,1,2,22,300,160,0,4,synthetic_id_only
76,HH-0370,HH-0370,household,Household HH-0370,household,17,7.55,2,0,15,0.118,2,29,190,159,160,0,-3,synthetic_id_only
77,HH-0308,HH-0308,household,Household HH-0308,household,5,1.781,0,0,5,0.0,0,0,45,275,160,30,-20,synthetic_id_only
78,HH-0216,HH-0216,household,Household HH-0216,household,8,2.267,0,0,8,0.0,0,0,58,262,160,0,-32,synthetic_id_only
79,HH-0451,HH-0451,household,Household HH-0451,household,11,4.181,0,0,11,0.0,0,0,104,216,160,0,-44,synthetic_id_only
80,HH-0339,HH-0339,household,Household HH-0339,household,15,5.694,0,0,15,0.0,0,0,144,176,160,0,-60,synthetic_id_only
81,BIZ-008,BIZ-008,commercial,Business BIZ-008,commercial,46,94.34,0,0,46,0.0,0,0,2286,714,1500,30,-184,synthetic_id_only
82,BIZ-006,BIZ-006,commercial,Business BIZ-006,commercial,51,108.648,0,0,51,0.0,0,0,2632,368,1500,30,-204,synthetic_id_only
83,BIZ-004,BIZ-004,commercial,Business BIZ-004,commercial,52,106.242,0,0,52,0.0,0,0,2575,425,1500,30,-208,synthetic_id_only
84,BIZ-007,BIZ-007,commercial,Business BIZ-007,commercial,65,131.408,0,0,65,0.0,0,0,3183,717,1950,30,-260,synthetic_id_only
