cooker_id,account_id,entity_id,account_type,plug,observed_group,asset_type,source
C-SYN-HH-0088,HH-0088,HH-0088,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0120,HH-0120,HH-0120,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0125,HH-0125,HH-0125,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0131,HH-0131,HH-0131,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0133,HH-0133,HH-0133,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0140,HH-0140,HH-0140,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0158,HH-0158,HH-0158,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0163,HH-0163,HH-0163,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0165,HH-0165,HH-0165,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0179,HH-0179,HH-0179,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0187,HH-0187,HH-0187,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0188,HH-0188,HH-0188,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0201,HH-0201,HH-0201,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0205,HH-0205,HH-0205,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0207,HH-0207,HH-0207,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0216,HH-0216,HH-0216,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0229,HH-0229,HH-0229,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0254,HH-0254,HH-0254,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0257,HH-0257,HH-0257,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0262,HH-0262,HH-0262,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0265,HH-0265,HH-0265,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0274,HH-0274,HH-0274,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0275,HH-0275,HH-0275,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0279,HH-0279,HH-0279,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0281,HH-0281,HH-0281,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0282,HH-0282,HH-0282,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0284,HH-0284,HH-0284,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0286,HH-0286,HH-0286,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0289,HH-0289,HH-0289,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0303,HH-0303,HH-0303,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0308,HH-0308,HH-0308,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0323,HH-0323,HH-0323,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0339,HH-0339,HH-0339,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0347,HH-0347,HH-0347,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0370,HH-0370,HH-0370,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0374,HH-0374,HH-0374,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0377,HH-0377,HH-0377,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0381,HH-0381,HH-0381,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0382,HH-0382,HH-0382,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0403,HH-0403,HH-0403,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0406,HH-0406,HH-0406,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0413,HH-0413,HH-0413,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0416,HH-0416,HH-0416,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0421,HH-0421,HH-0421,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0428,HH-0428,HH-0428,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0433,HH-0433,HH-0433,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0451,HH-0451,HH-0451,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0457,HH-0457,HH-0457,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0467,HH-0467,HH-0467,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0469,HH-0469,HH-0469,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0473,HH-0473,HH-0473,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0480,HH-0480,HH-0480,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0485,HH-0485,HH-0485,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0488,HH-0488,HH-0488,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0497,HH-0497,HH-0497,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0527,HH-0527,HH-0527,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0554,HH-0554,HH-0554,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0560,HH-0560,HH-0560,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0563,HH-0563,HH-0563,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0564,HH-0564,HH-0564,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0570,HH-0570,HH-0570,household,,,profile_estimated_ecooker,synthetic_profile
