date,cooker_id,account_id,plug,source,session_count,active_minutes,available_minutes,utilization_percent,kwh,green_sessions,orange_sessions,red_sessions,observed_sessions,synthetic_sessions,peak_concurrent_cookers
2025-06-27,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-002,HH-0007,002,observed_smartplug,6,389.3,1440,27.03,5.684,1,2,3,6,0,1
2025-06-29,C-OBS-002,HH-0007,002,observed_smartplug,2,30.0,1440,2.08,0.49,0,0,2,2,0,1
2025-06-30,C-OBS-002,HH-0007,002,observed_smartplug,1,126.6,1440,8.79,2.107,1,0,0,1,0,1
2025-06-01,C-OBS-006,HH-0007,006,observed_smartplug,1,31.1,1440,2.16,0.543,1,0,0,1,0,1
2025-06-02,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-03,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-04,C-OBS-006,HH-0007,006,observed_smartplug,3,122.4,1440,8.5,1.87,1,0,2,3,0,1
2025-06-05,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-06,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-07,C-OBS-006,HH-0007,006,observed_smartplug,1,92.4,1440,6.42,1.595,0,0,1,1,0,1
2025-06-08,C-OBS-006,HH-0007,006,observed_smartplug,1,58.1,1440,4.03,0.939,0,0,1,1,0,1
2025-06-09,C-OBS-006,HH-0007,006,observed_smartplug,3,100.7,1440,6.99,1.477,2,0,1,3,0,1
2025-06-10,C-OBS-006,HH-0007,006,observed_smartplug,2,139.8,1440,9.71,2.366,1,0,1,2,0,1
2025-06-11,C-OBS-006,HH-0007,006,observed_smartplug,4,403.7,1440,28.03,5.919,2,0,2,4,0,1
2025-06-12,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-13,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-14,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-15,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-16,C-OBS-006,HH-0007,006,observed_smartplug,2,25.4,1440,1.76,0.436,1,0,1,2,0,1
2025-06-17,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-18,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-19,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-20,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-21,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-22,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-23,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-24,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-25,C-OBS-006,HH-0007,006,observed_smartplug,2,77.2,1440,5.36,1.262,1,0,1,2,0,1
2025-06-26,C-OBS-006,HH-0007,006,observed_smartplug,1,62.4,1440,4.33,1.081,1,0,0,1,0,1
2025-06-27,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-29,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-30,C-OBS-006,HH-0007,006,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-01,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-02,C-OBS-010,HH-0010,010,observed_smartplug,2,33.8,1440,2.35,0.796,1,0,1,2,0,1
2025-06-03,C-OBS-010,HH-0010,010,observed_smartplug,1,24.4,1440,1.69,0.452,0,0,1,1,0,1
2025-06-04,C-OBS-010,HH-0010,010,observed_smartplug,1,19.9,1440,1.38,0.375,0,1,0,1,0,1
2025-06-05,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-06,C-OBS-010,HH-0010,010,observed_smartplug,1,15.3,1440,1.06,0.273,1,0,0,1,0,1
2025-06-07,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-08,C-OBS-010,HH-0010,010,observed_smartplug,1,25.6,1440,1.78,0.4,1,0,0,1,0,1
2025-06-09,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-10,C-OBS-010,HH-0010,010,observed_smartplug,1,7.0,1440,0.49,0.161,0,0,1,1,0,1
2025-06-11,C-OBS-010,HH-0010,010,observed_smartplug,1,20.0,1440,1.39,0.382,1,0,0,1,0,1
2025-06-12,C-OBS-010,HH-0010,010,observed_smartplug,1,14.7,1440,1.02,0.299,0,0,1,1,0,1
2025-06-13,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-14,C-OBS-010,HH-0010,010,observed_smartplug,1,17.7,1440,1.23,0.34,0,0,1,1,0,1
2025-06-15,C-OBS-010,HH-0010,010,observed_smartplug,1,17.1,1440,1.19,0.43,0,0,1,1,0,1
2025-06-16,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-17,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-18,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-19,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-20,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-21,C-OBS-010,HH-0010,010,observed_smartplug,2,44.5,1440,3.09,0.729,2,0,0,2,0,1
2025-06-22,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-23,C-OBS-010,HH-0010,010,observed_smartplug,1,3.1,1440,0.22,0.078,0,1,0,1,0,1
2025-06-24,C-OBS-010,HH-0010,010,observed_smartplug,1,3.1,1440,0.22,0.076,0,0,1,1,0,1
2025-06-25,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-26,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-27,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-010,HH-0010,010,observed_smartplug,2,71.6,1440,4.97,1.505,1,1,0,2,0,1
2025-06-29,C-OBS-010,HH-0010,010,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-30,C-OBS-010,HH-0010,010,observed_smartplug,2,26.0,1440,1.81,0.517,1,0,1,2,0,1
2025-06-01,C-OBS-011,HH-0010,011,observed_smartplug,1,36.9,1440,2.56,0.621,1,0,0,1,0,1
2025-06-02,C-OBS-011,HH-0010,011,observed_smartplug,2,33.9,1440,2.35,0.841,1,0,1,2,0,1
2025-06-03,C-OBS-011,HH-0010,011,observed_smartplug,1,24.3,1440,1.69,0.426,0,0,1,1,0,1
2025-06-04,C-OBS-011,HH-0010,011,observed_smartplug,1,20.0,1440,1.39,0.326,0,1,0,1,0,1
2025-06-05,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-06,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-07,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-08,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-09,C-OBS-011,HH-0010,011,observed_smartplug,1,69.9,1440,4.85,1.204,0,0,1,1,0,1
2025-06-10,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-11,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-12,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-13,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-14,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-15,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-16,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-17,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-18,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-19,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-20,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-21,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-22,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-23,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-24,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-25,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-26,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-27,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-011,HH-0010,011,observed_smartplug,2,218.7,1440,15.19,0.514,2,0,0,2,0,1
2025-06-29,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-30,C-OBS-011,HH-0010,011,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-01,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-02,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-03,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-04,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-05,C-OBS-013,HH-0018,013,observed_smartplug,1,4.3,1440,0.3,0.11,0,0,1,1,0,1
2025-06-06,C-OBS-013,HH-0018,013,observed_smartplug,1,24.8,1440,1.72,0.507,0,0,1,1,0,1
2025-06-07,C-OBS-013,HH-0018,013,observed_smartplug,1,10.6,1440,0.74,0.213,0,1,0,1,0,1
2025-06-08,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-09,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-10,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-11,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-12,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-13,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-14,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-15,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-16,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-17,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-18,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-19,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-20,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-21,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-22,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-23,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-24,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-25,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-26,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-27,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-29,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-30,C-OBS-013,HH-0018,013,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-01,C-OBS-015,HH-0020,015,observed_smartplug,1,12.9,1440,0.9,0.242,0,0,1,1,0,1
2025-06-02,C-OBS-015,HH-0020,015,observed_smartplug,4,40.6,1440,2.82,0.741,2,0,2,4,0,1
2025-06-03,C-OBS-015,HH-0020,015,observed_smartplug,4,47.3,1440,3.28,0.875,0,1,3,4,0,1
2025-06-04,C-OBS-015,HH-0020,015,observed_smartplug,1,10.2,1440,0.71,0.19,0,1,0,1,0,1
2025-06-05,C-OBS-015,HH-0020,015,observed_smartplug,2,15.0,1440,1.04,0.282,0,1,1,2,0,1
2025-06-06,C-OBS-015,HH-0020,015,observed_smartplug,2,16.5,1440,1.15,0.307,0,2,0,2,0,1
2025-06-07,C-OBS-015,HH-0020,015,observed_smartplug,3,66.7,1440,4.63,1.109,0,2,1,3,0,1
2025-06-08,C-OBS-015,HH-0020,015,observed_smartplug,2,43.9,1440,3.05,0.809,0,1,1,2,0,1
2025-06-09,C-OBS-015,HH-0020,015,observed_smartplug,1,28.0,1440,1.94,0.515,0,0,1,1,0,1
2025-06-10,C-OBS-015,HH-0020,015,observed_smartplug,4,79.2,1440,5.5,1.287,2,1,1,4,0,1
2025-06-11,C-OBS-015,HH-0020,015,observed_smartplug,3,82.9,1440,5.76,1.381,1,0,2,3,0,1
2025-06-12,C-OBS-015,HH-0020,015,observed_smartplug,3,52.9,1440,3.67,0.848,2,1,0,3,0,1
2025-06-13,C-OBS-015,HH-0020,015,observed_smartplug,1,10.5,1440,0.73,0.194,0,1,0,1,0,1
2025-06-14,C-OBS-015,HH-0020,015,observed_smartplug,2,13.7,1440,0.95,0.25,1,0,1,2,0,1
2025-06-15,C-OBS-015,HH-0020,015,observed_smartplug,2,16.0,1440,1.11,0.295,0,1,1,2,0,1
2025-06-16,C-OBS-015,HH-0020,015,observed_smartplug,2,41.0,1440,2.85,0.696,0,1,1,2,0,1
2025-06-17,C-OBS-015,HH-0020,015,observed_smartplug,2,12.7,1440,0.88,0.232,1,1,0,2,0,1
2025-06-18,C-OBS-015,HH-0020,015,observed_smartplug,2,41.2,1440,2.86,0.611,0,1,1,2,0,1
2025-06-19,C-OBS-015,HH-0020,015,observed_smartplug,2,37.6,1440,2.61,0.637,1,1,0,2,0,1
2025-06-20,C-OBS-015,HH-0020,015,observed_smartplug,2,13.0,1440,0.9,0.237,0,2,0,2,0,1
2025-06-21,C-OBS-015,HH-0020,015,observed_smartplug,1,6.9,1440,0.48,0.127,1,0,0,1,0,1
2025-06-22,C-OBS-015,HH-0020,015,observed_smartplug,1,8.0,1440,0.56,0.149,0,1,0,1,0,1
2025-06-23,C-OBS-015,HH-0020,015,observed_smartplug,2,17.8,1440,1.24,0.334,0,0,2,2,0,1
2025-06-24,C-OBS-015,HH-0020,015,observed_smartplug,4,35.0,1440,2.43,0.641,2,0,2,4,0,1
2025-06-25,C-OBS-015,HH-0020,015,observed_smartplug,1,8.3,1440,0.58,0.154,0,1,0,1,0,1
2025-06-26,C-OBS-015,HH-0020,015,observed_smartplug,2,40.0,1440,2.78,0.716,1,1,0,2,0,1
2025-06-27,C-OBS-015,HH-0020,015,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-015,HH-0020,015,observed_smartplug,3,66.2,1440,4.6,1.124,1,2,0,3,0,1
2025-06-29,C-OBS-015,HH-0020,015,observed_smartplug,3,40.3,1440,2.8,0.674,2,1,0,3,0,1
2025-06-30,C-OBS-015,HH-0020,015,observed_smartplug,2,48.0,1440,3.33,0.723,1,0,1,2,0,1
2025-06-01,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-02,C-OBS-017,HH-0031,017,observed_smartplug,1,3.7,1440,0.26,0.118,0,0,1,1,0,1
2025-06-03,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-04,C-OBS-017,HH-0031,017,observed_smartplug,2,13.4,1440,0.93,0.394,1,0,1,2,0,1
2025-06-05,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-06,C-OBS-017,HH-0031,017,observed_smartplug,1,4.3,1440,0.3,0.138,0,0,1,1,0,1
2025-06-07,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-08,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-09,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-10,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-11,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-12,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-13,C-OBS-017,HH-0031,017,observed_smartplug,1,3.8,1440,0.26,0.125,0,0,1,1,0,1
2025-06-14,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-15,C-OBS-017,HH-0031,017,observed_smartplug,3,21.3,1440,1.48,0.429,0,0,3,3,0,1
2025-06-16,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-17,C-OBS-017,HH-0031,017,observed_smartplug,1,3.3,1440,0.23,0.109,0,0,1,1,0,1
2025-06-18,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-19,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-20,C-OBS-017,HH-0031,017,observed_smartplug,1,4.1,1440,0.28,0.129,0,0,1,1,0,1
2025-06-21,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-22,C-OBS-017,HH-0031,017,observed_smartplug,1,4.7,1440,0.33,0.15,0,0,1,1,0,1
2025-06-23,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-24,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-25,C-OBS-017,HH-0031,017,observed_smartplug,2,10.8,1440,0.75,0.237,0,0,2,2,0,1
2025-06-26,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-27,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-017,HH-0031,017,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-29,C-OBS-017,HH-0031,017,observed_smartplug,1,4.9,1440,0.34,0.163,0,1,0,1,0,1
2025-06-30,C-OBS-017,HH-0031,017,observed_smartplug,1,3.8,1440,0.26,0.117,0,0,1,1,0,1
2025-06-01,C-OBS-018,HH-0031,018,observed_smartplug,1,26.8,1440,1.86,0.492,1,0,0,1,0,1
2025-06-02,C-OBS-018,HH-0031,018,observed_smartplug,1,41.0,1440,2.85,0.713,0,1,0,1,0,1
2025-06-03,C-OBS-018,HH-0031,018,observed_smartplug,1,15.6,1440,1.08,0.288,1,0,0,1,0,1
2025-06-04,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-05,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-06,C-OBS-018,HH-0031,018,observed_smartplug,1,38.0,1440,2.64,0.652,1,0,0,1,0,1
2025-06-07,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-08,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-09,C-OBS-018,HH-0031,018,observed_smartplug,2,80.6,1440,5.6,1.259,1,1,0,2,0,1
2025-06-10,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-11,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-12,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-13,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-14,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-15,C-OBS-018,HH-0031,018,observed_smartplug,1,19.8,1440,1.38,0.363,0,1,0,1,0,1
2025-06-16,C-OBS-018,HH-0031,018,observed_smartplug,2,71.5,1440,4.97,1.129,0,0,2,2,0,1
2025-06-17,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-18,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-19,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-20,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-21,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-22,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-23,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-24,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-25,C-OBS-018,HH-0031,018,observed_smartplug,1,88.0,1440,6.11,1.254,1,0,0,1,0,1
2025-06-26,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-27,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-28,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-29,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-30,C-OBS-018,HH-0031,018,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
