person_id,household_id,age_band,gender,role,student_or_worker_status,primary_activity
P-00374,HH-0115,25-34,male,household_head,worker,livestock
P-00375,HH-0115,0-5,female,child,dependent,retail_trade
P-00376,HH-0115,6-12,male,child,student,casual_labor
P-00377,HH-0116,25-34,male,household_head,worker,home_care
P-00378,HH-0116,35-44,female,adult,worker,casual_labor
P-00379,HH-0116,45-54,male,adult,worker,home_care
P-00380,HH-0116,55-64,female,adult,caregiver,restaurant_work
P-00381,HH-0116,0-5,male,child,dependent,retail_trade
P-00382,HH-0116,0-5,male,child,dependent,home_care
P-00383,HH-0116,6-12,male,child,student,home_care
P-00384,HH-0117,25-34,female,household_head,worker,casual_labor
P-00385,HH-0117,25-34,male,adult,worker,casual_labor
P-00386,HH-0117,0-5,female,child,dependent,livestock
P-00387,HH-0117,18-24,male,adult,worker,retail_trade
P-00388,HH-0117,6-12,female,child,student,school
P-00389,HH-0118,25-34,male,household_head,worker,home_care
P-00390,HH-0118,6-12,male,child,student,school
P-00391,HH-0118,25-34,female,adult,worker,retail_trade
P-00392,HH-0118,25-34,female,adult,worker,casual_labor
P-00393,HH-0118,25-34,male,adult,worker,livestock
P-00394,HH-0119,25-34,male,household_head,worker,casual_labor
P-00395,HH-0119,45-54,male,adult,worker,casual_labor
P-00396,HH-0119,18-24,female,adult,worker,livestock
P-00397,HH-0120,35-44,male,household_head,worker,casual_labor
P-00398,HH-0120,0-5,female,child,dependent,livestock
P-00399,HH-0120,0-5,male,child,dependent,other
P-00400,HH-0120,25-34,female,adult,worker,livestock
P-00401,HH-0120,18-24,female,adult,worker,restaurant_work
P-00402,HH-0121,35-44,male,household_head,worker,casual_labor
P-00403,HH-0121,35-44,male,adult,worker,restaurant_work
P-00404,HH-0121,0-5,male,child,dependent,livestock
P-00405,HH-0122,35-44,male,household_head,worker,retail_trade
P-00406,HH-0122,45-54,male,adult,caregiver,livestock
P-00407,HH-0122,6-12,male,child,student,livestock
P-00408,HH-0122,13-17,male,child,student,home_care
P-00409,HH-0122,0-5,female,child,dependent,retail_trade
P-00410,HH-0123,45-54,female,household_head,worker,casual_labor
P-00411,HH-0123,6-12,male,child,student,school
P-00412,HH-0124,25-34,male,household_head,worker,livestock
P-00413,HH-0124,45-54,male,adult,caregiver,livestock
P-00414,HH-0124,18-24,male,adult,worker,other
P-00415,HH-0124,35-44,male,adult,worker,home_care
P-00416,HH-0125,35-44,male,household_head,caregiver,casual_labor
P-00417,HH-0125,18-24,male,adult,worker,livestock
P-00418,HH-0125,45-54,female,adult,worker,livestock
P-00419,HH-0125,0-5,male,child,caregiver,casual_labor
P-00420,HH-0125,25-34,female,adult,worker,casual_labor
P-00421,HH-0125,45-54,male,adult,worker,restaurant_work
P-00422,HH-0126,35-44,male,household_head,caregiver,restaurant_work
P-00423,HH-0126,13-17,male,child,student,livestock
P-00424,HH-0126,25-34,female,adult,worker,restaurant_work
P-00425,HH-0126,25-34,male,adult,worker,home_care
P-00426,HH-0127,55-64,male,household_head,caregiver,casual_labor
P-00427,HH-0127,6-12,male,child,student,school
P-00428,HH-0127,0-5,female,child,dependent,casual_labor
P-00429,HH-0127,6-12,female,child,student,home_care
P-00430,HH-0127,0-5,female,child,dependent,casual_labor
P-00431,HH-0128,25-34,female,household_head,worker,casual_labor
P-00432,HH-0128,18-24,male,adult,worker,other
P-00433,HH-0128,25-34,male,adult,worker,livestock
P-00434,HH-0129,25-34,male,household_head,worker,home_care
P-00435,HH-0129,18-24,female,adult,worker,livestock
P-00436,HH-0129,18-24,female,adult,worker,home_care
P-00437,HH-0129,18-24,female,adult,caregiver,retail_trade
P-00438,HH-0130,35-44,male,household_head,worker,livestock
P-00439,HH-0130,6-12,female,child,student,retail_trade
P-00440,HH-0130,35-44,female,adult,worker,casual_labor
P-00441,HH-0130,35-44,male,adult,worker,home_care
P-00442,HH-0130,25-34,male,adult,worker,casual_labor
P-00443,HH-0130,0-5,male,child,dependent,retail_trade
P-00444,HH-0130,13-17,female,child,student,school
P-00445,HH-0131,35-44,female,household_head,worker,home_care
P-00446,HH-0132,35-44,female,household_head,worker,casual_labor
P-00447,HH-0132,0-5,male,child,dependent,livestock
P-00448,HH-0133,35-44,male,household_head,worker,retail_trade
P-00449,HH-0133,25-34,female,adult,worker,home_care
P-00450,HH-0133,6-12,male,child,student,livestock
P-00451,HH-0133,6-12,male,child,student,casual_labor
P-00452,HH-0133,13-17,male,child,student,livestock
P-00453,HH-0133,25-34,female,adult,worker,retail_trade
P-00454,HH-0134,35-44,female,household_head,worker,casual_labor
P-00455,HH-0134,25-34,male,adult,worker,livestock
P-00456,HH-0134,6-12,female,child,student,school
P-00457,HH-0134,6-12,male,child,student,home_care
P-00458,HH-0135,35-44,male,household_head,caregiver,home_care
P-00459,HH-0135,35-44,male,adult,worker,retail_trade
P-00460,HH-0135,45-54,female,adult,worker,retail_trade
P-00461,HH-0135,25-34,male,adult,worker,retail_trade
P-00462,HH-0135,0-5,male,child,dependent,retail_trade
P-00463,HH-0135,0-5,male,child,dependent,home_care
P-00464,HH-0135,13-17,male,child,student,school
P-00465,HH-0136,35-44,male,household_head,caregiver,retail_trade
P-00466,HH-0136,6-12,female,child,student,school
P-00467,HH-0136,55-64,female,adult,worker,livestock
P-00468,HH-0136,13-17,female,child,student,casual_labor
P-00469,HH-0137,45-54,male,household_head,worker,home_care
P-00470,HH-0137,35-44,male,adult,worker,home_care
P-00471,HH-0137,13-17,female,child,student,school
P-00472,HH-0138,35-44,female,household_head,worker,home_care
P-00473,HH-0138,0-5,female,child,caregiver,livestock
P-00474,HH-0138,35-44,female,adult,caregiver,home_care
P-00475,HH-0138,13-17,male,child,student,retail_trade
P-00476,HH-0139,35-44,male,household_head,worker,casual_labor
P-00477,HH-0139,6-12,male,child,student,livestock
P-00478,HH-0139,25-34,male,adult,worker,livestock
P-00479,HH-0139,13-17,male,child,student,restaurant_work
P-00480,HH-0140,55-64,female,household_head,caregiver,retail_trade
P-00481,HH-0140,25-34,female,adult,worker,casual_labor
P-00482,HH-0140,45-54,male,adult,worker,restaurant_work
P-00483,HH-0140,18-24,male,adult,worker,livestock
P-00484,HH-0140,0-5,male,child,dependent,livestock
P-00485,HH-0140,25-34,female,adult,worker,retail_trade
P-00486,HH-0141,65+,female,household_head,caregiver,casual_labor
P-00487,HH-0141,45-54,male,adult,worker,livestock
P-00488,HH-0141,13-17,male,child,student,school
P-00489,HH-0142,55-64,male,household_head,worker,casual_labor
P-00490,HH-0142,45-54,male,adult,worker,livestock
P-00491,HH-0142,18-24,male,adult,worker,casual_labor
P-00492,HH-0143,35-44,female,household_head,worker,livestock
P-00493,HH-0143,13-17,female,child,student,school
P-00494,HH-0143,18-24,female,adult,worker,livestock
P-00495,HH-0143,18-24,male,adult,worker,casual_labor
P-00496,HH-0143,6-12,male,child,student,casual_labor
P-00497,HH-0143,18-24,female,adult,worker,casual_labor
P-00498,HH-0143,45-54,male,adult,worker,livestock
P-00499,HH-0144,35-44,male,household_head,worker,casual_labor
P-00500,HH-0144,6-12,male,child,student,casual_labor
